gene	disease
ARSE	Schizophrenia;Autistic disorder of childhood onset;Chondrodysplasia punctata 1, X-linked recessive
ARSG	USHER SYNDROME, TYPE IV
ARV1	Neurodegeneration;Epileptic encephalopathy, early infantile, 38;ARV1-related condition;Blindness
ARX	Schizophrenia;Mental retardation, with or without seizures, ARX-related, X-linked;Autistic disorder of childhood onset;epileptic encephalopathy, early infanitle, 1;Hydranencephaly with abnormal genitalia;Epileptic encephalopathy, early infantile, 1;Lissencephaly 2, X-linked;Inborn genetic diseases;History of neurodevelopmental disorder;Generalized hypotonia
ASAH1	Farber disease;Jankovic Rivera syndrome;Rolandic epilepsy;Keloid formation
ASB10	Glaucoma 1, open angle, F
ASCC1	Spinal muscular atrophy with congenital bone fractures 2
ASCL1	Congenital central hypoventilation
ASH1L	MENTAL RETARDATION, AUTOSOMAL DOMINANT 52
ASH2L	Global developmental delay;Intellectual disability
ASL	Argininosuccinate lyase deficiency
ASNS	Asparagine synthetase deficiency
ASPA	Canavan Disease, Familial Form;Canavan disease, mild;Spongy degeneration of central nervous system
ASPH	Facial dysmorphism, lens dislocation, anterior segment abnormalities, and spontaneous filtering blebs
ASPM	Primary autosomal recessive microcephaly;Primary autosomal recessive microcephaly 5;Microcephaly;Inborn genetic diseases
ASPN	Lumbar disc degeneration, susceptibility to;Osteoarthritis susceptibility 3
ASS1	Citrullinemia type I
ASTN1	Abnormality of brain morphology
ASXL1	C-like syndrome;Myelodysplasia;Inborn genetic diseases
ASXL2	Shashi-Pena syndrome
ASXL3	intellectual deficiency;Abnormality of brain morphology;Inborn genetic diseases;Language retardation;Bainbridge-Ropers syndrome
ATAD1	HYPEREKPLEXIA 4
ATAD3A	Harel-Yoon syndrome
ATF6	Macular dystrophy;Achromatopsia;Achromatopsia 7
ATG2B	Acute myeloid leukemia;Essential thrombocythemia;Myelofibrosis
ATG5	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 25
ATIC	AICAR transformylase/IMP cyclohydrolase deficiency
ATL1	Osteomyelitis leading to amputation due to slow healing fractures;Distal lower limb muscle weakness;Hereditary sensory neuropathy type 1D;Distal sensory impairment;Penetrating foot ulcers;Inborn genetic diseases;Spastic paraplegia 3
ATL3	Hereditary sensory neuropathy type IF
ATM	Oculomotor apraxia;Conjunctival telangiectasia;Ataxia-telangiectasia syndrome;Immunodeficiency;Ataxia-telangiectasia without immunodeficiency;T-cell prolymphocytic leukemia;Neoplasm;Hereditary breast and ovarian cancer syndrome;Ovarian Neoplasms;Mantle cell lymphoma;Glioblastoma;Ataxia-telangiectasia variant;Hereditary cancer-predisposing syndrome;Familial cancer of breast;Cerebellar ataxia
ATN1	Congenital ATN1 related disorder;Dentatorubral pallidoluysian atrophy
ATOH7	Persistent hyperplastic primary vitreous, autosomal recessive
ATP11C	HEMOLYTIC ANEMIA, CONGENITAL, X-LINKED
ATP13A2	Spastic paraplegia 78, autosomal recessive;Inborn genetic diseases;Parkinson disease 9
ATP1A1	Aldosterone Producing Adrenal Cortex Adenoma;HYPOMAGNESEMIA, SEIZURES, AND MENTAL RETARDATION 2;CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2DD
ATP1A2	Abnormality of neuronal migration;Hydrops fetalis;Arthrogryposis multiplex congenita;Familial hemiplegic migraine;Epilepsy;Familial hemiplegic migraine type 2;Polymicrogyria;Inborn genetic diseases;Alternating hemiplegia of childhood 1
ATP1A3	Apnea;Seizures;Depressed nasal bridge;Oculogyric crisis;Alternating hemiplegia of childhood 2;Delayed speech and language development;Epicanthus;Hemiplegia;Abnormality of earlobe;Dystonia 12;Ventriculomegaly;Juvenile onset psychosis;Inborn genetic diseases;Cerebellar ataxia, areflexia, pes cavus, optic atrophy and sensorinural hearing loss
ATP2A1	Brody myopathy
ATP2A2	Darier disease, segmental;Acrokeratosis verruciformis of Hopf;Darier disease, acral hemorrhagic type;Keratosis follicularis
ATP2B2	Deafness, autosomal recessive 12, modifier of
ATP2B3	Carious teeth;Aldosterone Producing Adrenal Cortex Adenoma;Intellectual disability;Abnormality of the cerebral cortex;Global developmental delay;Oral-pharyngeal dysphagia;Skeletal muscle atrophy;Microcephaly;Inborn genetic diseases;Muscular hypotonia
ATP5F1A	Combined oxidative phosphorylation deficiency 22;Mitochondrial complex v (atp synthase) deficiency, nuclear type 4
ATP5F1D	Decreased activity of mitochondrial ATP synthase complex;MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 5;Mitochondrial diseases
ATP5F1E	Nuclearly-encoded mitochondrial complex V (ATP synthase) deficiency 3
ATP6AP1	Immunodeficiency due to ficolin 3 deficiency;Immunodeficiency 47
ATP6AP2	Mental retardation, X-linked, syndromic, Hedera type;Parkinsonism with spasticity, X-linked
ATP6V0A2	Cutis laxa with osteodystrophy;Wrinkly skin syndrome
ATP6V0A4	Renal tubular acidosis, distal, autosomal recessive, with late-onset sensorineural hearing loss;Renal tubular acidosis, distal, autosomal recessive;Inborn genetic diseases
ATP6V1A	Cerebral visual impairment and intellectual disability;EPILEPTIC ENCEPHALOPATHY, INFANTILE OR EARLY CHILDHOOD, 3;CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IID
ATP6V1B1	Renal tubular acidosis, distal, with progressive deafness;Renal tubular acidosis with progressive nerve deafness;Nephrolithiasis;Nephrocalcinosis;Inborn genetic diseases
ATP6V1B2	Zimmermann-Laband syndrome 1;Deafness, congenital, with onychodystrophy, autosomal dominant;Zimmermann-Laband syndrome 2
ATP6V1E1	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIC
ATP7A	Schizophrenia;Distal spinal muscular atrophy, X-linked 3;Autistic disorder of childhood onset;Cutis laxa, X-linked;Menkes kinky-hair syndrome;History of neurodevelopmental disorder
ATP7B	Kayser-Fleischer ring;Wilson disease;Epileptic encephalopathy;Inborn genetic diseases;Hand tremor
ATP8A2	Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4;Inborn genetic diseases
ATP8B1	Cholestasis of pregnancy;Progressive intrahepatic cholestasis
ATPAF2	Nuclearly-encoded mitochondrial complex V (ATP synthase) deficiency 1
ATR	Seckel syndrome 1;Cutaneous telangiectasia and cancer syndrome, familial
ATRX	Schizophrenia;Intellectual disability;Global developmental delay;Low-set, posteriorly rotated ears;Microcephaly;Metastatic pancreatic neuroendocrine tumours;Psychomotor deterioration;Acquired hemoglobin H disease;Generalized hypotonia;History of neurodevelopmental disorder;Mental retardation-hypotonic facies syndrome, X-linked;Mental retardation-hypotonic facies syndrome X-linked, 1;Alpha-thalassemia/mental retardation syndrome;Autistic disorder of childhood onset;Absent speech;Drooling;ATR-X syndrome;Short stature;Inborn genetic diseases
ATXN1	Spinocerebellar ataxia 1
ATXN10	Spinocerebellar ataxia 10
ATXN2	Salt and pepper developmental regression syndrome
ATXN3	Azorean disease;Parkinson disease, late-onset
ATXN7	Spinocerebellar ataxia 7
AUH	3-Methylglutaconic aciduria type 1
AURKA	Colon cancer, susceptibility to
AURKC	Infertility associated with multi-tailed spermatozoa and excessive DNA
AUTS2	Multiple congenital anomalies;Agenesis of corpus callosum;Mental retardation, autosomal dominant 26;Pierre Robin-like syndrome;Multiple congenital anomalies/dysmorphic syndrome-intellectual disability;Inborn genetic diseases
AVP	Diabetes insipidus, neurohypophyseal, autosomal recessive;Neurohypophyseal diabetes insipidus
AVPR2	Schizophrenia;Nephrogenic diabetes insipidus, X-linked;Autistic disorder of childhood onset;Nephrogenic diabetes insipidus;Nephrogenic syndrome of inappropriate antidiuresis;Inborn genetic diseases
AXIN1	Hepatocellular carcinoma
AXIN2	Colorectal cancer;Oligodontia;Carcinoma of colon;Non-syndromic oligodontia;Oligodontia-colorectal cancer syndrome
B2M	Squamous cell lung carcinoma;Hypoproteinemia, hypercatabolic;Lung adenocarcinoma;Ovarian Serous Cystadenocarcinoma;Multiple myeloma;Small cell lung cancer;Squamous cell carcinoma of the head and neck;Adenocarcinoma of stomach;Neoplasm of the large intestine;Non-Hodgkin lymphoma;Familial visceral amyloidosis, Ostertag type;Malignant melanoma of skin
B3GALNT2	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 11;Inborn genetic diseases
B3GALT6	Spondyloepimetaphyseal dysplasia with joint laxity;Ehlers-Danlos syndrome, progeroid type, 2;Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with fractures
B3GAT3	Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects;MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, AND CRANIOFACIAL DYSMORPHISM WITHOUT CONGENITAL HEART DEFECTS;MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, AND CRANIOFACIAL DYSMORPHISM WITH CONGENITAL HEART DEFECTS
B3GLCT	Peters plus syndrome
B3GNT6	Childhood-Onset Schizophrenia
B4GALNT1	Spastic paraplegia 26;Inborn genetic diseases
B4GALT1	Congenital disorder of glycosylation type 2D
B4GALT7	Ehlers-Danlos syndrome progeroid type
B4GAT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 13
B9D1	Joubert Syndrome and Related Disorders;Joubert syndrome;Joubert syndrome 27
B9D2	Joubert syndrome;Meckel syndrome, type 10
BAAT	Atypical hemolytic-uremic syndrome 1;Hypercholanemia, familial
BACH2	IMMUNODEFICIENCY 60
BAG3	Dilated cardiomyopathy 1HH;Dilated cardiomyopathy;Cardiovascular phenotype;Primary dilated cardiomyopathy;Myofibrillar myopathy, BAG3-related
BANF1	Nestor-Guillermo progeria syndrome
BAP1	Uveal melanoma;BAP1 Cancer Syndrome;Tumor susceptibility linked to germline BAP1 mutations;Hereditary cancer-predisposing syndrome
BARD1	Neoplasm of the breast;Familial cancer of breast;Hereditary breast and ovarian cancer syndrome;Ovarian Neoplasms;Hereditary cancer-predisposing syndrome
BAX	T-cell acute lymphoblastic leukemia;Carcinoma of colon
BAZ1A	VATER/VACTERL association with CNS malformations
BBIP1	Bardet-Biedl syndrome 18;Bardet-Biedl syndrome 1
BBS1	Retinitis pigmentosa;Bardet-Biedl syndrome;Bardet-Biedl syndrome 1
BBS10	Retinitis pigmentosa;Short-rib thoracic dysplasia 3 with or without polydactyly;Foot polydactyly;Bardet-Biedl syndrome 10;Intellectual disability;Postaxial hand polydactyly;Bardet-Biedl syndrome;Bardet-Biedl syndrome 1;Macular degeneration;High-frequency hearing impairment;Inborn genetic diseases;Retinal dystrophy
BBS12	Visual impairment;Inability to walk;Bardet-Biedl syndrome;Postaxial polydactyly;Bardet-Biedl syndrome 12;Abnormality of cardiovascular system morphology
BBS2	BBS2-Related Disorders;Bardet-biedl syndrome 2/6, digenic;Bardet-Biedl syndrome 2;Bardet-biedl syndrome 1/2, digenic;Retinitis pigmentosa 74;Inborn genetic diseases;Bardet-Biedl syndrome
BBS4	Bardet-Biedl syndrome 4;Bardet-Biedl syndrome
BBS5	Bardet-Biedl syndrome 5;Cone/cone-rod dystrophy;Bardet-Biedl syndrome
BBS7	Bardet-Biedl syndrome 1/7, digenic;Retinal dystrophy;Bardet-Biedl syndrome;Bardet-Biedl syndrome 7
BBS9	Bardet-Biedl syndrome 9;Bardet-Biedl syndrome
BCAM	BLOOD GROUP--LUTHERAN NULL
BCAP31	Chromosome Xq28 deletion syndrome
BCHE	Bche, j variant;Deficiency of butyrylcholine esterase;Postanesthetic apnea;Butyrylcholinesterase deficiency, fluoride 1;Bche, h variant
BCKDHA	Maple syrup urine disease type 1A;MAPLE SYRUP URINE DISEASE, INTERMEDIATE, TYPE IA;Maple syrup urine disease
BCKDHB	MAPLE SYRUP URINE DISEASE, CLASSIC, TYPE IB;Maple syrup urine disease type 1B;Maple syrup urine disease
BCKDK	Branched-chain keto acid dehydrogenase kinase deficiency
BCL10	T-cell acute lymphoblastic leukemia;Immunodeficiency 37;Carcinoma of colon;Mesothelioma;Male germ cell tumor, somatic;Sezary syndrome;Follicular lymphoma;Malignant tumor of testis;Mucosa-associated lymphoma
BCL11A	Agenesis of corpus callosum;Intellectual disability;Cerebellar vermis hypoplasia;Global developmental delay;Fetal hemoglobin quantitative trait locus 5;Profound global developmental delay;Intellectual developmental disorder with persistence of fetal hemoglobin;Microcephaly;Inborn genetic diseases
BCL11B	INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, DYSMORPHIC FACIES, AND T-CELL ABNORMALITIES;Combined immunodeficiency;Inborn genetic diseases;Immunodeficiency 49
BCO1	Hypercarotenemia and vitamin a deficiency, autosomal dominant
BCOR	Oculofaciocardiodental syndrome;Schizophrenia;Autistic disorder of childhood onset;Congenital cataract;Abnormality of brain morphology;Inborn genetic diseases;Adenoid cystic carcinoma
BCS1L	Bjornstad syndrome with mild mitochondrial complex III deficiency;GRACILE syndrome;Pili torti-deafness syndrome;Inborn genetic diseases;Leigh syndrome due to mitochondrial complex III deficiency;Leigh syndrome;Mitochondrial complex III deficiency
BDNF	Inborn genetic diseases
BDP1	DEAFNESS, AUTOSOMAL RECESSIVE 112
BEST1	Retinitis pigmentosa;Vitreoretinochoroidopathy;Retinitis pigmentosa 50;Vitelliform macular dystrophy type 2;Retinal dystrophy;Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma;Bestrophinopathy, autosomal recessive
BFSP1	Cataract 33, multiple types
BGN	Thoracic aortic aneurysm and aortic dissection;Spondyloepimetaphyseal dysplasia X-linked;Meester-loeys syndrome
BHLHA9	Chromosome 17p13.3, centromeric, duplication syndrome;Camptosynpolydactyly, complex;Syndactyly type 9
BICC1	Renal dysplasia diffuse cystic
BICD2	Spinal muscular atrophy;SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, 2B, PRENATAL ONSET, AUTOSOMAL DOMINANT;Spinal muscular atrophy, lower extremity predominant 2, autosomal dominant;Inborn genetic diseases;Spinal muscular atrophy, lower extremity-predominant, 2, AD
BIN1	Autosomal recessive centronuclear myopathy
BLK	Systemic lupus erythematosus;Maturity-onset diabetes of the young, type 11
BLM	Bloom syndrome;Hereditary cancer-predisposing syndrome
BLNK	Agammaglobulinemia 4, autosomal recessive
BLOC1S3	Hermansky-Pudlak syndrome 8
BLOC1S6	Hermansky-Pudlak syndrome 9
BLVRA	Hyperbiliverdinemia
BMP1	Osteogenesis imperfecta, type xiii
BMP15	Ovarian dysgenesis 2;Primary amenorrhea;Premature ovarian failure 4
BMP2	Craniosynostosis 7;SHORT STATURE, FACIAL DYSMORPHISM, AND SKELETAL ANOMALIES WITH OR WITHOUT CARDIAC ANOMALIES
BMP4	Microphthalmia syndromic 6;Orofacial cleft 11
BMP7	Inborn genetic diseases
BMPER	Diaphanospondylodysostosis
BMPR1A	Juvenile polyposis syndrome;Hereditary cancer-predisposing syndrome
BMPR1B	Type A2 brachydactyly;Fibular hypoplasia and complex brachydactyly;Brachydactyly, type a1, d;Acromesomelic dysplasia, Demirhan type
BMPR2	Idiopathic and/or familial pulmonary arterial hypertension;Pulmonary hypertension, primary, 1, with hereditary hemorrhagic telangiectasia;Pulmonary venoocclusive disease 1;Pulmonary veno-occlusive disease;Pulmonary hypertension, primary, dexfenfluramine-associated;Pulmonary arterial hypertension associated with congenital heart disease;Primary pulmonary hypertension
BMS1	Aplasia cutis congenita
BNC2	Lower Urinary Tract Obstruction
BOLA3	Multiple mitochondrial dysfunctions syndrome 2
BORCS5	Global developmental delay;Abnormality of the cerebral cortex;Agenesis of corpus callosum;Microcephaly;Seizures;Polymicrogyria
BPGM	Deficiency of bisphosphoglycerate mutase
BPTF	Cafe-au-lait spot;Autistic disorder of childhood onset;Postnatal microcephaly;Intellectual disability;Seizures;NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL LIMB ANOMALIES;Joint laxity;Global developmental delay;Expressive language delay;Inborn genetic diseases
BRAF	Papillary renal cell carcinoma, sporadic;Squamous cell lung carcinoma;Cutaneous melanoma;Familial hypertrophic cardiomyopathy 4;Ovarian Neoplasms;Carcinoma of colon;Squamous cell carcinoma of the head and neck;Adenocarcinoma of stomach;Neoplasm of the breast;Noonan syndrome;Noonan syndrome 1;Neoplasm of the thyroid gland;Transitional cell carcinoma of the bladder;Neoplasm;Neoplasm of brain;Genetic syndrome with a Dandy-Walker malformation as major feature;Follicular thyroid carcinoma;Adrenocortical carcinoma;Lung cancer;Cardiofaciocutaneous syndrome 1;Lung adenocarcinoma;Rasopathy;Glioblastoma;Malignant neoplasm of body of uterus;Multiple myeloma;Cardio-facio-cutaneous syndrome;PHACE syndrome;Chronic lymphocytic leukemia;Squamous cell carcinoma of the skin;Non-Hodgkin lymphoma;Noonan syndrome 7;Childhood ganglioglioma;Chronic myelogenous leukemia;Ovarian Serous Cystadenocarcinoma;Neoplasm of the colon;Neoplasm of the large intestine;Non-small cell lung cancer;Malignant melanoma of skin;Inborn genetic diseases;Adenocarcinoma of prostate;Tethered cord
BRAT1	NEURODEVELOPMENTAL DISORDER WITH CEREBELLAR ATROPHY AND WITH OR WITHOUT SEIZURES;Rigidity and multifocal seizure syndrome, lethal neonatal;Inborn genetic diseases
BRCA1	Breast-ovarian cancer, familial 2;Breast and/or ovarian cancer;Breast cancer, susceptibility to;Neoplasm of ovary;Hereditary breast and ovarian cancer syndrome;Ovarian Neoplasms;Ovarian cancer;Hereditary cancer-predisposing syndrome;Breast-ovarian cancer, familial 1;Fanconi anemia, complementation group A;Infiltrating duct carcinoma of breast;Neoplasm of the breast;Familial cancer of breast;Pancreatic cancer 4;FANCONI ANEMIA, COMPLEMENTATION GROUP S
BRCA2	Breast and/or ovarian cancer;Breast cancer, susceptibility to;Ovarian Serous Surface Papillary Adenocarcinoma;Pancreatic cancer 2;Ateleiotic dwarfism;Ovarian Neoplasms;Carcinoma of colon;Ovarian cancer;Hereditary cancer-predisposing syndrome;Breast-ovarian cancer, familial 1;Infiltrating duct carcinoma of breast;Familial cancer of breast;Neoplasm of the breast;Metastatic pancreatic neuroendocrine tumours;Breast-ovarian cancer, familial 2;Neuroendocrine tumor of pancreas;Fanconi anemia, complementation group D1;Hereditary breast and ovarian cancer syndrome;Glioma susceptibility 3;Neoplasm of ovary;Genetic non-acquired premature ovarian failure;Wilms tumor 1;Malignant tumor of prostate;Cancer of the pancreas;Medulloblastoma
BRD4	Short stature;Inborn genetic diseases
BRD7	malignant granular cell tumor
BRDT	SPERMATOGENIC FAILURE 21
BRF1	Cerebellofaciodental syndrome;cerebellar-facial-dental syndrome
BRIP1	Fanconi anemia, complementation group J;Familial cancer of breast;Neoplasm of ovary;Hereditary breast and ovarian cancer syndrome;Ovarian Neoplasms;Hereditary cancer-predisposing syndrome
BRPF1	Neurodevelopmental disorder;Intellectual disability;Intellectual developmental disorder with dysmorphic facies and ptosis;Inborn genetic diseases
BRWD3	Schizophrenia;Autistic disorder of childhood onset;Mental retardation, X-linked 93
